point_id,lon,lat
1,-73.617064,40.811419
2,-99.224071,18.846901
3,73.197544,18.874473
4,139.010848,35.91432
5,151.435693,-34.110526
6,-43.327397,-23.319616
7,-45.751733,-24.017588
8,31.473602,29.520678
9,-58.395117,-34.2126
10,-43.719378,-22.700083
11,120.78541,31.086523
12,-73.715081,41.126718
13,-46.893899,-23.768592
14,-58.846994,-34.887399
15,2.411554,49.073567
16,-98.872312,19.546999
17,13.557229,53.11386
18,54.541984,25.113056
19,127.349316,37.839004
20,-74.90155,40.890235
21,13.978466,52.436785
22,-74.240068,39.756238
23,37.7196,55.340227
24,126.602033,37.600435
25,55.234991,25.685849
26,77.010302,28.141026
27,120.774424,31.559709
28,13.557266,52.589275
29,31.212425,29.772067
30,28.247618,41.037994
31,28.25143,41.1798
32,127.238543,37.132665
33,140.058502,35.339638
34,139.450317,35.611085
35,-43.206204,-23.27484
36,28.654145,40.876666
37,-46.458659,-23.618143
38,139.52684,36.233415
39,17.892468,-34.003466
40,-42.608411,-22.921101
41,121.411368,31.527893
42,76.915732,28.02383
43,30.770725,30.270679
44,-99.982325,19.272135
45,12.708004,52.433828
46,38.451009,56.021482
47,1.694862,49.238084
48,13.631448,52.561586
49,-46.637376,-23.414818
50,-0.670739,50.332666
51,55.35092,25.754981
52,127.131418,37.662152
53,-46.638395,-23.466968
54,120.939685,31.225092
55,18.329116,-33.784631
56,121.811538,31.640313
57,121.367584,31.738221
58,77.197744,29.160652
59,72.927038,19.230968
60,76.531361,28.335718
61,28.072741,41.195441
62,28.452959,41.70686
63,73.335828,18.860822
64,-46.81589,-23.775004
65,-46.784535,-24.058582
66,31.225312,29.738441
67,37.017971,55.860916
68,2.629003,48.748662
69,-73.50458,41.094883
70,-98.417087,19.906914
71,-57.695453,-34.024778
72,126.823156,37.887206
73,31.369985,30.232475
74,103.670075,1.009408
75,2.069195,48.805144
76,0.312434,51.439858
77,76.15739,28.233096
78,-45.757261,-23.329859
79,-74.649219,39.94598
80,-46.365858,-24.053964
81,-73.841309,40.168117
82,-46.685146,-24.347616
83,55.679207,25.891188
84,77.463698,28.765353
85,103.956174,0.945239
86,-99.843574,18.791345
87,-59.072654,-34.097
88,55.230162,24.892752
89,2.641163,48.916335
90,77.428453,29.477148
91,151.581576,-33.895617
92,18.26673,-33.457067
93,139.358589,36.226643
94,-0.168554,51.726556
95,28.574332,41.673881
96,-99.532659,19.374712
97,29.061843,40.944059
98,-46.948788,-23.597355
99,73.266031,19.17878
100,-73.350073,40.558102
101,-58.373491,-34.344893
102,-75.024476,40.230449
103,-99.101513,19.343978
104,38.766241,55.77253
105,13.949903,52.582797
