book_key,title,author,pages,average_rating,published_date
2145253,Il romantico,William  Boyd,464.0,3.75,2022.0
958696,Niets is waar,Lisa Jewell,11.0,4.0,2023.0
1793387,Pražské mordy: Skutečné kriminální případy z let první republiky (1918–1938),Dan Hrubý,408.0,4.5,2021.0
403063,"Treasured Grace (Heart of the Frontier, #1)",Tracie Peterson,316.0,3.54545454545455,2017.0
1686003,Mysterious Secrets of the Dark Kingdom: The Battle for Planet Earth,J.P. Timmons,414.0,5.0,1991.0
2098912,"Chocola et Vanilla, Tome 6",Moyoco Anno,176.0,5.0,2006.0
2574091,"Rebeldes, ni putas ni sumisas",Gemma Lienas,160.0,2.0,2005.0
1485607,Очевидность фильма: Аббас Киаростами,Jean-Luc Nancy,112.0,5.0,2001.0
916302,الخراسانية في شرح عقيدة الرازيين,عبدالعزيز بن مرزوق الطريفي,896.0,5.0,
1156099,Sinserious,JanJan Untamed,760.0,5.0,
2338982,Breaking the Bank,Yona Zeldis McDonough,349.0,4.0,2009.0
754716,Pandemic (The Extinction Files #1),A.G. Riddle,720.0,4.0,2017.0
945543,"Gentleman Wanted (Black Aces, #4)",Emma Mountford,96.0,5.0,
317588,Unexpected,Jack Ryder,42.0,3.0,
645583,Black Hawk Down: A Story of Modern War,Mark Bowden,496.0,4.55555555555556,1999.0
1801139,La respuesta del Universo: Creando su vida ideal mediante la ley de la atracción,Félix Torán Martí,,5.0,2008.0
1958019,Uncanny X-Men (1963-2011) #106,Chris Claremont,18.0,3.0,1977.0
784608,Filthy (Foreign Exchange #2),S.E. Hall,149.0,4.0,
2169617,প্রজাপতির দিন,Nuha Chowdhury,15.0,4.0,2022.0
1079691,"火盃的考驗 (哈利波特, #4)",J.K. Rowling,768.0,4.0,2000.0
2064408,The Coldest Girl in Coldtown,Holly Black,422.0,4.0,2013.0
1694862,Royal Discipline (Royal Discipline #1),Annabel Joseph,151.0,4.66666666666667,2016.0
823422,Pandora's Jar: Women in the Greek Myths,Natalie Haynes,275.0,4.4,2020.0
1779482,The Man of Feeling (Broadview Edition),Henry MacKenzie,224.0,4.0,1771.0
2498551,The Year That Follows,Scott Lasser,257.0,4.0,2009.0
643657,Murder Runs in the Family (Honey Driver Mystery #13),Jean G. Goodhind,307.0,4.36363636363636,2016.0
830024,"Cibola brennt (The Expanse, #4)",James S.A. Corey,656.0,3.5,2014.0
876772,L'homme qui plantait des arbres,Jean Giono,58.0,4.16666666666667,1953.0
1106952,Uncertain Magic,Laura Kinsale,384.0,4.16666666666667,1987.0
1081865,الخنجر,Anatoli Rybakov,322.0,4.0,1948.0
567050,Barred for Life: How Black Flag’s Iconic Logo became Punk Rock’s Secret Handshake,Stewart Dean Ebersole,328.0,2.0,2012.0
1444346,Coraline By Neil Gaiman,Neil Gaiman,,4.0,2002.0
1138031,Carretera maldita,Richard  Bachman,363.0,3.0,1981.0
952367,BattleTech Legends: Ghost of Winter,Stephen Kenson,280.0,4.0,1999.0
1738029,Unspoken Abandonment: Sometimes the hardest part of going to war is coming home,Bryan A. Wood,208.0,4.28571428571429,2012.0
1546946,Stone Cold,Sarah Humpherys,308.0,5.0,2022.0
1678503,How to Beat Wall Street - Everything You Need to Make Money in the Markets Plus! 20 Trading System Ideas,J.B. Marwood,,4.5,2013.0
2287421,Grădina Raiului,Ernest Hemingway,240.0,3.33333333333333,1986.0
1335881,Games for Actors and Non-Actors,Augusto Boal,301.0,4.71428571428571,1975.0
1055585,My Stubborn Heart,Becky Wade,352.0,4.0,2012.0
915075,Born in the GDR: Life in the Shadow of the Wall,Hester Vaizey,224.0,4.0,2014.0
525975,Faerie Heart,Livi Michael,181.0,2.0,2009.0
1050273,The Midas Bomb,Steven M. Moore,219.0,5.0,2009.0
1728209,A girl's story,Annie Ernaux,106.0,3.25,2016.0
